model_number,val_loss
0,0.31795260310173035
1,0.4080123007297516
2,0.418946772813797
3,0.3297767639160156
4,0.5161686539649963
5,0.35318830609321594
6,0.36216509342193604
7,0.3108873665332794
8,0.3570537269115448
9,0.3595687448978424
10,0.4135144054889679
11,0.6045292019844055
12,0.5576334595680237
13,0.4931269586086273
14,0.3755246698856354
15,0.46985721588134766
16,0.5094033479690552
17,0.5335791707038879
18,0.3886377513408661
19,0.5158102512359619
20,0.38468998670578003
21,0.3248378336429596
22,0.3938261866569519
23,0.5500972867012024
24,0.5021225810050964
mean,0.43003642559051514
std,0.08516295255244041
