model_number,val_loss
0,1.1164859533309937
1,1.0980249643325806
2,1.1225745677947998
3,1.081887125968933
4,1.0642753839492798
5,1.0913538932800293
6,1.1029738187789917
7,1.1117160320281982
8,1.1093195676803589
9,1.090366005897522
10,1.0902843475341797
11,1.0956484079360962
12,1.0991672277450562
13,1.1006726026535034
14,1.1025742292404175
15,1.0829570293426514
16,1.09355628490448
17,1.1120840311050415
18,1.0754289627075195
19,1.1164156198501587
20,1.125870704650879
21,1.0886480808258057
22,1.0993496179580688
23,1.0885324478149414
24,1.098281979560852
mean,1.0983379554748536
std,0.014319851451909126
